"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/03/08（火）18:58","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","○"
"2022/03/08（火）18:58","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/08（火）17:04","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/08（火）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/08（火）08:47","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/08（火）08:42","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/08（火）08:05","4階テナント","警備操作","警備解除","-","US00620301","IDカード／キー","○"
"2022/03/07（月）20:46","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/07（月）19:32","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2022/03/07（月）19:15","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/07（月）09:51","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/07（月）08:51","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/07（月）08:44","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/07（月）08:08","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/04（金）19:11","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/04（金）19:11","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/04（金）19:10","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/04（金）18:49","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","○"
"2022/03/04（金）18:20","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/04（金）10:15","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/04（金）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/04（金）09:07","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/04（金）09:02","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/04（金）08:43","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2022/03/03（木）20:45","3階テナント","警備操作","警備開始","-","US00620304","IDカード／キー","○"
"2022/03/03（木）19:22","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/03（木）19:11","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/03（木）18:51","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/03（木）18:51","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/03（木）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/03（木）08:50","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/03（木）08:40","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/03（木）08:39","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/02（水）20:01","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/02（水）19:44","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","○"
"2022/03/02（水）19:39","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/02（水）17:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/02（水）09:43","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/02（水）09:02","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/02（水）08:52","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/02（水）08:36","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/01（火）19:51","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/03/01（火）19:03","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/01（火）18:48","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/01（火）18:48","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/01（火）18:46","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/01（火）15:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/01（火）09:44","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/01（火）08:53","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/01（火）08:39","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/01（火）08:05","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
