"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2023/02/06（月）18:20","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/06（月）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/06（月）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/06（月）08:24","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2023/02/06（月）07:50","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/04（土）21:58","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/04（土）21:58","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/02/03（金）20:20","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/03（金）19:48","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/03（金）19:05","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/03（金）18:16","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/03（金）09:48","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/03（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/03（金）08:10","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/03（金）06:33","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/02/02（木）23:06","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/02（木）19:58","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/02（木）19:57","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/02/02（木）18:43","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/02（木）18:11","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/02（木）17:29","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/02（木）09:43","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/02（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/02（木）08:32","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/02（木）07:00","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/02/01（水）23:09","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/01（水）18:56","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/01（水）18:50","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/01（水）18:42","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/01（水）09:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/01（水）08:39","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/01（水）08:36","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/01（水）08:25","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
