"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/04/07（木）19:52","3階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2022/04/07（木）18:45","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/07（木）09:40","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/07（木）08:54","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/04/07（木）08:42","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/04/07（木）08:09","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/04/06（水）22:16","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/04/06（水）19:55","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/04/06（水）19:34","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/04/06（水）18:43","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/06（水）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/06（水）08:45","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/04/06（水）08:45","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/04/05（火）20:29","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/04/05（火）18:48","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/04/05（火）10:00","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/05（火）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/04/05（火）08:45","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/04/05（火）08:12","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/04/04（月）18:38","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/04（月）18:30","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2022/04/04（月）18:10","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/04/04（月）17:38","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/04/04（月）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/04（月）08:55","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/04/04（月）08:48","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/04/04（月）08:08","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/04/01（金）21:06","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/04/01（金）19:02","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/04/01（金）18:56","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","○"
"2022/04/01（金）10:48","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/01（金）10:03","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/01（金）08:58","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/04/01（金）08:43","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/04/01（金）08:41","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
